| **CloudWatch Metric Name**                    | **Datadog Metric Name**                                     | **Dynatrace Metric Name**                                 | **Dynatrace Metric Key**                                                                 | **Description**                                                                                                                                                                                                                 | **Notes**                                                                            |
| --------------------------------------------- | ----------------------------------------------------------- | --------------------------------------------------------- | ---------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------ |
| **node\_cpu\_utilization**                    | `kubernetes.cpu.usage.total / kubernetes.cpu.capacity`      | CPU usage % (host)                                        | `builtin:host.cpu.usage`                                                                 | Percentage of CPU time utilized on the host (node). A value near 100% means the CPU is fully busy.                                                                                                                              | Available for any host (VM or K8s node).                                             |
| **node\_cpu\_reserved\_capacity**             | `kubernetes.cpu.requests / kubernetes.cpu.limits`           | Pod CPU requests (by node) / Node CPU allocatable         | `builtin:kubernetes.node.requests_cpu` / `builtin:kubernetes.node.cpu_allocatable`       | Total CPU requested by all pods on the node (in millicores) compared to the allocatable CPU of that node. This indicates how much CPU is reserved versus capacity.                                                              | Kubernetes only (requires K8s integration).                                          |
| **node\_cpu\_limit**                          | `kubernetes.cpu.limit`                                      | Pod CPU limits (by node)                                  | `builtin:kubernetes.node.limits_cpu`                                                     | Total CPU limit of all pods on the node (sum of CPU cores/millicores set as limits).                                                                                                                                            | Kubernetes only.                                                                     |
| **node\_filesystem\_utilization**             | `kubernetes.filesystem.usage` (percent used)                | Disk used % (host)                                        | `builtin:host.disk.usedPct`                                                              | Percentage of disk space used on the host’s filesystem. Equivalent to 100% minus free space.                                                                                                                                    | Available for any host (monitors each disk volume).                                  |
| **node\_memory\_limit**                       | `kubernetes_state.node.memory_capacity`                     | Memory total (host)                                       | `builtin:host.mem.total`                                                                 | Total physical memory (RAM) capacity of the node/host.                                                                                                                                                                          | Available for any host (VM or K8s node).                                             |
| **node\_memory\_reserved\_capacity**          | `kubernetes_state.node.memory_capacity.total`               | Pod memory requests (by node) / Memory allocatable (node) | `builtin:kubernetes.node.requests_memory` / `builtin:kubernetes.node.memory_allocatable` | Total memory requested by all pods on the node (bytes) compared to the node’s allocatable memory capacity. Indicates reserved memory fraction.                                                                                  | Kubernetes only.                                                                     |
| **node\_memory\_utilization**                 | `kubernetes.memory.usage / kubernetes.memory.capacity`      | Memory used % (host)                                      | `builtin:host.mem.usage`                                                                 | Percentage of memory currently used on the host (used = total - available). Dynatrace OneAgent calculates this as 100% minus the available memory.                                                                              | Available for any host (VM or K8s node).                                             |
| **node\_network\_total\_bytes**               | `kubernetes.network.rx_bytes + kubernetes.network.tx_bytes` | Network bytes received/s + sent/s (host)                  | `builtin:host.net.nic.bytesRx` / `builtin:host.net.nic.bytesTx`                          | Rate of bytes received and transmitted per second by the host’s network interfaces. Summing RX and TX gives total network throughput.                                                                                           | Available for any host.                                                              |
| **node\_network\_errors**                     | `kubernetes.network.errors`                                 | Network packet errors (host)                              | `builtin:host.net.nic.packets.errors`                                                    | Number of network interface errors (packets errors) per second on the host. This includes packet send/receive errors on the node’s NICs.                                                                                        | Available for any host.                                                              |
